has_day;has_night;day_description;night_description;name;address;title;type;litraturer;night_character;day_year_built;night_book;night_year_wrote;day_architect;img_url;night_quote;y;x
1;;;;Чапыгин А. П.;Литераторов ул., 19;«В этом доме жил с 27-го сентября 1924 г. и скончался 21-го октября 1937 г. советский писатель Алексей Павлович Чапыгин»;Мемориальная табличка;Чапыгин А. П.;;1940;;;Арх. Демков Н. Ф.;https://encspb.ru/image/2805559115/1;;59.969537;30.3114991
1;;;;Чарушин Е. И.;Фонтанки реки наб., 50;«В этом доме с 1948 по 1965 год жил и работал художник и писатель Евгений Иванович Чарушин»;Мемориальная табличка;Чарушин Е. И.;;1975;;;Арх. Милорадович Т. Н.;;;59.9304858;30.341301
1;;Мрамор;;Чернышевский Н. Г.;Большая Московская ул., 6.;«В этом доме с 20 мая 1861 года по 7 июля 1862 года жил и работал великий русский революционный демократ Николай Гаврилович Чернышевский»;Мемориальная табличка;Чернышевский Н. Г.;;1955;;;;https://encspb.ru/image/2805553988/1;;59.9267783;30.3478429
1;;Гранит;;Чуковский К. И.;Манежный пер., 6. (Ф-270);«В этом доме с 1919 по 1938 год жил и работал писатель Корней Иванович Чуковский»;Мемориальная табличка;Чуковский К. И.;;1983;;;Арх. Бухаев В. Б.;https://encspb.ru/image/2805559235/1;;59.9433367;30.3537877
1;;;;Шварц Е. Л.;Малая Посадская ул., 8. (Ф-273);«Доброму сказочнику Евгению Шварцу, жившему в этом доме. “У нас такие тайны — обхохочешься” Е. Шварц»;Мемориальная табличка;Шварц Е. Л.;;1997;;;Авторы: Арх. Бекаревич Г. А., скульпторы Игнатьев П. П., Шевченко С. П.;https://encspb.ru/image/2805559324/1;;59.9579173;30.3214819
1;;Мрамор;;Шевченко Т. Г.;Загородный проспект, 8;«В этом доме 1832–1838 гг. жил великий украинский поэт, революционер-демократ Тарас Григорьевич Шевченко»;Мемориальная табличка;Шевченко Т. Г.;;1961;;;Арх. Попов В. Д.;;;59.9272013;30.3453586
1;;Мрамор;;Шевченко Т. Г.;В.О., Университетская наб., 17, Академия художеств, мемориальная мастерская Т. Г. Шевченко;;Мемориальная табличка;Шевченко Т. Г.;;1911;;;;https://encspb.ru/image/2805559364/1;;59.937532;30.289721
1;;;;Шевченко Т. Г.;В.О., 5-я линия, 8;«В этом доме 1840–1844 гг. жил великий украинский поэт, революционер-демократ Тарас Григорьевич Шевченко. Здесь им созданы поэмы “Сон” и “Гайдамаки»;Мемориальная табличка;Шевченко Т. Г.;;1964;;;Арх. Попов В. Д.;;;59.9385686;30.2870269
1;;;;Шевченко Т. Г.;ул. Шевченко, 1;"""Эта улица в 1961 году названа в честь выдающегося украинского поэта и художника Тараса Григорьевича Шевченко""";Мемориальная табличка;Шевченко Т. Г.;;;;;;;;59.9294389;30.2468357
1;;;;Шелгунов Н. В.;Чернышевского проспект, 13;«В этом доме жил и в 1891 году умер русский революционный демократ и публицист Николай Васильевич Шелгунов»;Мемориальная табличка;Шелгунов Н. В.;;1968;;;Арх. Попов В. Д.;;;59.9456494;30.3590103
1;;;;Шишков В. Я.;г. Пушкин, Московская ул., 9;«В этом доме с 1929 по 1941 жил и работал писатель Вячеслав Яковлевич Шишков»;Мемориальная табличка;Шишков В. Я.;;1961;;;;;;59.721540;30.400153
1;;;;Шишков В. Я.;Чебоксарский пер., 2/9;«В этом доме жил и работал в 1941–1942 гг. Вячеслав Яковлевич Шишков»;Мемориальная табличка;Шишков В. Я.;;1950;;;;https://encspb.ru/image/2805559403/1;;59.9377334;30.3268591
1;;;;Ян В. Г.;Фонтанки реки наб., 53.;«В этом доме с 1909 года по 1912 год жил и работал писатель Василий Григорьевич Ян»;Мемориальная табличка;Ян В. Г.;;1990;;;архитектор Милорадович Т. Н.;;;59.9294976;30.3370912
1;;;;Ахматова А. А.;Воскресенская набережная, 12;;Памятник;Ахматова А. А.;;2006;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Tsentralny_District%2C_St_Petersburg%2C_Russia_-_panoramio_%28252%29.jpg/1280px-Tsentralny_District%2C_St_Petersburg%2C_Russia_-_panoramio_%28252%29.jpg;;59.949191;30.363641
1;;Русский поэт, жизнь и творчество которой тесно связаны с Петербургом-Ленинградом и Царским Селом.;;Ахматова А. А.;Восстания ул.;;Памятник;Ахматова А. А.;;1991;;;Трояновский В.И.;https://avatars.mds.yandex.net/get-altay/14761495/2a000001998b64c2a45db558f0a385d5f532/XXXL;;59.934409;30.359796
1;;;;Ахматова А. А.;Университетская набережная, 7-9-11В;;Памятник;Ахматова А. А.;;;;;;https://avatars.mds.yandex.net/get-altay/10231026/2a0000018efd139f64780a8f8220544d69b3/XXXL;;59.940232;30.298496
1;;Русский поэт. Участница обороны Ленинграда.;;Берггольц О. Ф.;Палевский сад;;Памятник;Берггольц О. Ф.;;;;;;https://avatars.mds.yandex.net/get-altay/1678797/2a00000168e3191d54499c5bf375295b1a70/XXXL;;59.8932210;30.4172239
1;;;;Берггольц О. Ф.;Гороховая улица, 57А;;Памятник;Берггольц О. Ф.;;;;;;https://avatars.mds.yandex.net/get-altay/3836503/2a00000176b2fd39e9a49432f24e1b4c1187/XXXL;;59.925997;30.324764
1;;Русский поэт. Участница обороны Ленинграда.;;Берггольц О. Ф.;набережная Чёрной речки, 20;;Памятник;Берггольц О. Ф.;;;;;;https://avatars.mds.yandex.net/get-altay/9728306/2a0000018a03de3d20a923e1b5f2aebf6323/XXXL;;59.989032;30.292692
1;;;;Блок А. А.;Университетская набережная, 7-9-11В;;Памятник;Блок А. А.;;;;;;https://avatars.mds.yandex.net/get-altay/1975185/2a0000016dd90c917536f9202f629f4f47be/XXXL;;59.939971;30.299660
1;;;;Блок А. А.;улица Декабристов, 55;;Памятник;Блок А. А.;;2023;;;;https://avatars.mds.yandex.net/get-altay/13197739/2a000001909b9db34e669c7d8807430305d7/XXXL;;59.923760;30.283959
1;;;;Бродский И. А.;улица Одоевского, 28;;Памятник;Бродский И. А.;;;;;;https://avatars.mds.yandex.net/get-altay/2812564/2a00000172a44a8915f2224ad42ef6db8c08/XXL_height;;59.946928;30.239451
1;;Немецкий поэт и мыслитель.;;Гёте И. В.;Невский пр., 22—24, у церкви св.;;Памятник;Гёте И. В.;;;;;;https://avatars.mds.yandex.net/get-altay/4612894/2a00000180a81af919f4c606801928cbc481/XXXL;;59.936468;30.324034
1;;Скульптура из бронзы на гранитном постаменте.;;Гоголь Н. В.;Малая Конюшенная ул.;;Памятник;Гоголь Н. В.;;;;;Михаил Владимирович Белов, Владимир Сергеевич Васильковский;https://avatars.mds.yandex.net/get-altay/1514203/2a0000016bb346f16373a1c77186596becb9/XXXL;;59.936400;30.325015
1;;Русский писатель.;;Гоголь Н. В.;Александровский сад, у фонтана перед Адмиралтейством;;Памятник;Гоголь Н. В.;;1896;;;Крейтан Виктор Павлович;https://avatars.mds.yandex.net/get-altay/10534734/2a0000018fb3660bd2875f834cce2fa3a94a/XXXL;;59.93673995;30.30921478
1;;Русский писатель, драматург, общественный деятель.;;Горький М.;Кронверкский проспект, 21/2;;Памятник;Горький М.;;;;;;https://avatars.mds.yandex.net/get-altay/363317/2a0000015cc18adf5bdcc71836201104c681/XXXL;;59.956744;30.319837
1;;Автор комедии «Горе от ума».;;Грибоедов А. С.;Пионерская пл.;;Памятник;Грибоедов А. С.;;;;;;https://avatars.mds.yandex.net/get-altay/5488055/2a0000017ddc85a414f3f930a91af54beb83/XXXL;;59.921490;30.332496
1;;;;Гумилёв Н. С;набережная реки Мойки, 48-50-52;;Памятник;Гумилёв Н. С;;;;;;https://avatars.mds.yandex.net/get-altay/12838938/2a000001924257fbc86b8f4ed832ba1d8fb7/XXXL;;59.932367;30.318302
1;;Русский поэт, государственный деятель.;;Державин Г. Р.;Фонтанки реки наб., 118. Дом-музей Г. Р;;Памятник;Державин Г. Р.;;;;;;https://avatars.mds.yandex.net/get-altay/16899665/2a0000019ab1f69b0f7d1d618f7c31f9cb1c/XXXL;;59.919232;30.310720
1;;;;Добролюбов Н. А.;Большой пр. П.С. на пересечении Введенской ул;;Памятник;Добролюбов Н. А.;;1959;;;Синайский В.А.;https://avatars.mds.yandex.net/get-altay/2006773/2a0000016bf55df68ac62b35fbae344f686e/XXXL;;59.9582543;30.2988255
1;;;;Довлатов С. Д.;ул. Рубинштейна, 25;;Памятник;Довлатов С. Д.;;;;;;https://avatars.mds.yandex.net/get-altay/14885978/2a000001964fc25a2da67f970f2dc91943df/XXXL;;59.927583;30.342933
1;;;;Достоевский Ф. М.;Большая Московская ул., 1;;Памятник;Достоевский Ф. М.;;;;;Холина Любовь Михайловна, Игнатьев Павел;https://avatars.mds.yandex.net/get-altay/10768923/2a0000018c9256db4421584ae12b1e652c97/XXXL;;59.927455;30.347548
1;;;;Есенин С. А.;Парк Есенина;;Памятник;Есенин С. А.;;;;;;https://avatars.mds.yandex.net/get-altay/11924971/2a0000019002e15c72ecd1b4accab12da576/XXXL;;59.9101039;30.4861544
1;;;;Есенин С. А.;Таврический сад;;Памятник;Есенин С. А.;;;;;Чаркин Альберт Серафимович;https://avatars.mds.yandex.net/get-altay/15042938/2a0000019a02f9a22dc0b1cca2045e8e3e53/XXXL;;59.9446222;30.3692486
1;;Памятник в стиле барокко, выполнен из гранита.;;Жуковсккий В. А.;Александровский сад, у Дворцовой Площади;;Памятник;Жуковсккий В. А.;;;;;Михайлов Иван Васильевич, Костомаров Федор Сергеевич;https://avatars.mds.yandex.net/get-altay/176734/2a000001639b8746fe8a95e6de6a132ea6f1/XXXL;;59.9376712;30.3116335
1;;;;Зощенко М. М.;улица Токарева, 7;;Памятник;Зощенко М. М.;;;;;;https://avatars.mds.yandex.net/get-altay/6236523/2a000001803a55374af59e1525848b957742/XXXL;;60.088403;29.955194
1;;Скульптура баснописца.;;Крылов И. А.;Летний сад;;Памятник;Крылов И. А.;;;;;Клодт Петр Карлович, Агин Александр Алексеевич;https://avatars.mds.yandex.net/get-altay/14763246/2a000001958e9180993ee0090fa058904b05/XXXL;;59.9462137;30.3350195
1;;Русский поэт.;;Лермонтов М. Ю.;Александровский сад, у фонтана перед Адмиралтейством;;Памятник;Лермонтов М. Ю.;;1896;;;Крейтан Виктор Павлович;https://avatars.mds.yandex.net/get-altay/13078542/2a0000018fb35bd05483ed33cbb30737fda5/XXXL;;59.9369810;30.3098516
1;;Поэт, прозаик, драматург.;;Лермонтов М. Ю.;Лермонтовский пр., 54;;Памятник;Лермонтов М. Ю.;;;;;Крейтан В.П., Микешин Б.М.;https://avatars.mds.yandex.net/get-altay/2425845/2a00000182493a8a8beba54c377fb06267ae/XXXL;;59.9105729;30.2981974
1;;Учёный, поэт, художник, историк.;;Ломоносов М. В.;Площадь Ломоносова;;Памятник;Ломоносов М. В.;;;;;;https://avatars.mds.yandex.net/get-altay/15431134/2a00000197ea846abd7c26483e191762588d/XXXL;;59.928903;30.334584
1;;Учёный, поэт, художник, историк.;;Ломоносов М. В.;Менделеевская линия В.О.;;Памятник;Ломоносов М. В.;;;;;Свешников Валентин Дмитриевич, Петров Борис Анатольевич;https://avatars.mds.yandex.net/get-altay/10488540/2a0000018aa4d5867bbb647f31f1b0c6fe28/XXXL;;59.940552;30.301619
1;;Учёный, поэт, художник, историк.;;Ломоносов М. В.;г. Ломоносов, Ораниенбаумский пр.;;Памятник;Ломоносов М. В.;;;;;Кочуков Николай Сергеевич, Алымов Александр Иванович, Рощин Владимир Николаевич;https://avatars.mds.yandex.net/get-altay/1777247/2a00000185fee46d9415810e92570af752f9/XXXL;;59.898768;29.779165
1;;Учёный, поэт, художник, историк.;;Ломоносов М. В.;г. Ломоносов, Дворцовый пр., 12/8;;Памятник;Ломоносов М. В.;;;;;Гликман Гавриил Давидович;https://avatars.mds.yandex.net/get-altay/1777247/2a00000185fed863c91c5b0773bc913ac1a4/XXXL;;59.914928;29.773675
1;;Русский поэт.;;Мандельштам О. Э.;Шереметевский сад, Литейный проспект, 53;;Памятник;Мандельштам О. Э.;;;;;;https://avatars.mds.yandex.net/get-altay/15487932/2a00000199f7b76680f2d173f7a78ee0eff4/XXXL;;59.936060;30.346422
1;;Русский поэт, родоначальник советской литературы.;;Маяковский В. В.;улица Маяковского, 28;;Памятник;Маяковский В. В.;;;;;;https://avatars.mds.yandex.net/get-altay/4365916/2a0000017753c8e9c8a37decb06641ce7ee6/XXXL;;59.938699;30.354880
1;;Поэт, национально-освободительный деятель.;;Мицкевич А.;Графский пер., 8;;Памятник;Мицкевич А.;;;;;Ястребенецкий Григорий Данилович;https://avatars.mds.yandex.net/get-altay/7179902/2a00000183f192bbd4d2b939052b33337f62/XXXL;;59.930506;30.346053
1;;;;Некрасов Н. А.;Некрасовский сад;;Памятник;Некрасов Н. А.;;1971;;;Эйдлин Леонид Юльевич;https://avatars.mds.yandex.net/get-altay/7383884/2a0000018305385ce39c923c9dfa6f1a12ad/XXXL;;59.9377278;30.3676205
1;;;;Некрасов Н. А.;Литейный пр., 37, сад Дома Пашкова;;Памятник;Некрасов Н. А.;;1922;;;Лишев Всеволод Всеволодович;https://avatars.mds.yandex.net/get-altay/6272620/2a000001837e8d9ee5d142400f10020e00bf/XXXL;;59.9403687;30.3475043
1;;Огранитный обелиск;;Пушкин А. С.;Московское шоссе, 23-й км, Московская Славянка;;Памятник;Пушкин А. С.;;1957;;;;https://avatars.mds.yandex.net/get-altay/10231026/2a0000018f2fc754e847d5db73b1566f41f6/XXXL;;59.748697;30.497298
1;;Красный гранитная статуя.;;Пушкин А. С.;г. Пушкин, Дворцовая ул., Лицейский сад;;Памятник;Пушкин А. С.;;;;;Бах Роберт Романович, Бах Александр Романович;https://avatars.mds.yandex.net/get-altay/4377463/2a00000181e9d73c8a71f5aa53a23f0e2749/XXXL;;59.7184585;30.3967580
1;;Бронзовая статуя на гранитном постаменте и парапете.;;Пушкин А. С.;г. Пушкин, Октябрьский бульвар, у Египетских ворот;;Памятник;Пушкин А. С.;;;;;Бернштам Леопольд Адольфович, Яковлев Всеволод Иванович;https://avatars.mds.yandex.net/get-altay/774756/2a0000018e8128ad0fd286bd145754f4a226/XXXL;;59.728610;30.395078
1;;;;Пушкин А. С.;Пушкинская ул.;;Памятник;Пушкин А. С.;;;;;;https://avatars.mds.yandex.net/get-altay/4200646/2a00000175c28bffe789b1bfe5d9012edd5e/XXXL;;59.928973;30.356782
1;;;;Пушкин А. С.;Искусств пл.;;Памятник;Пушкин А. С.;;1957;;;Аникушин Михаил Константинович;https://avatars.mds.yandex.net/get-altay/15278128/2a00000197ead86a95b6df69967684e80c9a/XXXL;;59.937257;30.331640
1;;Демонтирован;;Пушкин А. С.;Пулковское шоссе, поворот на г. Пушкин;;Памятник;Пушкин А. С.;;1956;;;Мануйлов Аполлон Александрович;https://spbvedomosti.ru/upload/resize_cache/webp/iblock/9ef/Demontazh-pamyatnika.webp;;59.776877;30.326321
1;;;;Пушкин А. С.;Мойки реки наб., 12;;Памятник;Пушкин А. С.;;1952;;;Дыдыкин Николай Васильевич;https://avatars.mds.yandex.net/get-altay/16474107/2a0000019b31e792d9a25c20d458d16671e2/XXXL;;59.940983;30.321558
1;;Бронзовый бюст на гранитном постаменте.;;Пушкин А. С.;Макарова наб., 4, ИРЛИ;;Памятник;Пушкин А. С.;;;;;Шредер Иван Николаевич, Одновалов Станислав Павлович;https://avatars.mds.yandex.net/get-altay/5120632/2a000001904922ee282d21bcc919db81ceaa/XXXL;;59.944982;30.301355
1;;Русский писатель.;;Тургенев И. С.;Старо-манежный сад, Манежная пл., 2;;Памятник;Тургенев И. С.;;;;;Нейман Ян Янович;https://avatars.mds.yandex.net/get-altay/16920891/2a000001995dc28cbd7fd9844e18cea7ef9d/XXXL;;59.9362594;30.3388161
1;;Революционный демократ, писатель, философ, литературный критик.;;Чернышевский Н. Г.;площадь Чернышевского;;Памятник;Чернышевский Н. Г.;;;;;Лишев Всеволод Всеволодович, Яковлев Всеволод Иванович;https://avatars.mds.yandex.net/get-altay/14296560/2a0000019303f938cf9ace0938b272dd8803/XXXL;;59.8689025;30.3195512
1;;Украинский поэт, родоначальник новой украинской литературы.;;Шевченко Т. Г.;Площадь Шевченко;;Памятник;Шевченко Т. Г.;;;;;;https://avatars.mds.yandex.net/get-altay/372953/2a0000015ffd7425b6c32db9dbde154c1ee3/XXXL;;59.9669008;30.3064388
;1;;"Эта переправа считается самой короткой в Северной столице. Ее длина всего девятнадцать метров. Во времена «Преступления и наказания» мост был деревянным, перестроили его только после войны, в 1946 году.

С Кокушкиным мостом мы знакомимся в самом начале романа.

А на следующий день после убийства Раскольников хотел схоронить концы именно здесь. Задумывал «бросить все в канаву», да на набережной оказалось слишком многолюдно.";Кокушкин мост;;;Место действия;Достоевский Ф. М.;Родион Раскольников;;"""Преступление и наказание""";1866;;https://p0.citywalls.ru/photo_426-437024.jpg?mt=1584745178;"«В начале июля, в чрезвычайно жаркое время, под вечер, один молодой человек вышел из своей каморки, которую нанимал от жильцов в С-м переулке, и медленно, как бы в нерешимости, отправился в К-ну мосту».

«Или плоты стояли у самых сходов и на них прачки мыли белье, или лодки были причалены, и везде люди так и кишат»";59.925817;30.313629
